,sentiment,tweet
0,0,lain bed headache ugh waiting call
1,0,funeral ceremony gloomy Friday
2,1,wants hang friends soon
3,0,go prom because boyfriend like friends
4,0,i sleep thinking old friend i want married damn wants scandalous
5,0,mm
6,0,Charlene love i miss
7,0,sorry least Friday
8,0,choked retainers
9,0,disgusted i beat stupid song get next rude
10,0,you watch hills London you realist torture weeks weeks late watch Capitoline
11,1,got news
12,0,the storm electricity gone
13,1,agreed
14,0,so sleepy even late i fail
15,0,lady gaga tweeted impressed video leaking know
16,0,how you convinced i always wanted what signals i give damn i think i lost another friend
17,0,oh bad i hope gets better sleep issues lately
18,1,wondering awake writing new song plotting evil secret plots maharajah oh damn secret anymore
19,0,i ate something i know why i keep telling things food
20,0,tired think definitely going get ear infection going bed early
21,0,on way home deal underage girls drinking gin DA bus talking bout kegged damn feel old
22,0,sorry people rude Isaac get manners know better lewd
23,0,damn servers still need hit Koppers pass
24,0,fudge just whole paper so tired disgusted i hate school time sleep
25,0,i hate cancer i hate it i hate it i hate it
26,0,it annoying starts typing computer middle night
27,0,yeah feel funny because slept enough woke mum because singing impressed
28,0,i need Sukkot right
29,1,mm much better day far still quite early last day ids
30,1,gonna first twitter happy because amazing come Canada would anything see perform
31,0,picked blackberry middle street both crushed
32,0,why i feeling i packing hitting sf around time year i think missing something
33,0,bed time hope go school tomorrow though feel well right
34,0,shh well i hoping i could learn stuff way why i work separate things also
35,0,problem photo twitter am cannot see face
36,0,tired
37,0,sucks able take days work money take trip sad
38,1,bed sorta today good tiara strep thought Angelina shared water before told prob get
39,0,awe onward upwards ya still sad leave i bet
40,0,aha poor bay still gets sore
41,0,diesel saris sad available us awesome
42,0,i want buy great album unfortunately ha enough funds long time noisy
43,0,honesty pain belch
44,0,OK passengers one alive dead know end cry
45,0,IA much really happy cooks choices singles
46,0,fell asleep beach put enough sunscreen
47,0,so think son might flu because i def cleaned stank puke mess poor pumpkin
48,1,so great see ion Cynthia so happy dinner great cute little place too bad ion got sick afterwards
49,0,woman transfer first impressions sexual maternal onto less threatening man weak him
50,0,bitten blood cat way rabies bacteria seems shots months never wash cats home hate water
51,1,dude favorite sandwich place ever mum take pictures
52,0,sad shin eye got married Alex
53,0,sure tweet back news abuzz tr leaving confirmed today mi trite
54,0,oh Thursday exams day Wednesday
55,0,thinking excited guys move realized sad see go
56,0,good mooring people sun definitely spring first spring hail storm car dimples
57,0,i love sub sticks we Australia
58,0,fresh prince sleepy sleeps nightly routine gotta go div early tomorrow
59,0,dammit hula desktop totally screwed ability talk particular port one Dev servers cannot watch code
60,0,jealous mom talking want see twittering making miss
61,0,i cannot sleep i keep thinking puppy i played today
62,0,supposed sleep but got much got one part song stuck head jerk know blah
63,0,last one month due summer strawberry available Chechen markets
64,1,correct i adore i plucked put arm because crying all better Hannah
65,0,hi pod cannot fall asleep
66,0,work tomorrow get paid
67,0,feels sad because wasn't able play guys
68,0,illogical wanted come because summer sad sure anymore life summer sucks
69,0,first ever dropped call mobile on call less charged data even though i data pack
70,0,you win sigh Hakeem
71,0,darn allergies i like time year i never used problem either
72,0,oh one minute late oh well
73,0,damn sucks
74,0,wanted come because summer sad sure anymore life summer sucks
75,0,this website gave me virus when opened windows kept popping
76,0,shh big scary bug flying around room
77,0,i wish knew puts she stole heart never gave back occasionally likes like look i
78,0,nasty cough cannot sick huge weekend ahead
79,0,tired
80,0,early happy day birth case i make very tired therapy today taking medicine missus love ya
81,0,allergies suck ducks nuts
82,0,karakul tasteless expensive portion little karakul
83,1,sounds good appreciate suggestion been week still off line time ask refund
84,0,he died wait magic jack i read
85,0,corresponding
86,0,wonders karma points turned
87,1,need pack Cali Cali cannot wait thinking glass wine order celebrate weekend vacate still work tho
88,0,is miserable feel like gonna cry sucks
89,0,my nose stud fell i cannot find looks like head Amsterdam today get new one
90,1,pats filly i love mm cheese steak miss boyfriend i love vacation
91,0,sigh going bed i feel right anymore
92,0,now i depressed watching think dance
93,0,just cross because stuck twiddling thumbs disgusted
94,0,i cannot sleep sore move
95,0,achieving new appreciation XML build script really painful cumbersome
96,0,cannot anything
97,1,work
98,1,rip Leonardo you great mini fiddler crab
99,0,last day working unit today sad times
100,1,thanks Nehemiah gonna sew close Izzy yet far
101,0,my head hurts bad i could scream
102,0,go so tired airmass broken somewhere even pain
103,0,new work wellness challenge going well i committed check email pm failed first day twice
104,0,new blog post blog auto insurance i found auto insurance policy expired i careless mean
105,0,oh men i really cannot see face guys
106,0,showing age renewed tags last week went got insurance renewal email today went i old
107,0,sole supporter sole supporter
108,0,hate finish work still hours left work time
109,0,ugh stop guys
110,0,still missing husband i really want home
111,0,i miss puppy
112,1,days month left i left on peak downloads
113,1,up i get memo it looks amazing
114,0,given pizza kids would never let favorite hot ones
115,0,up reading tabloids lives thinking gonna mine baby leaves
116,0,yearling pet home died sad whole family
